,ID,Src,Species,Common name,Species group,Location,Map ref.,Vice county,Date,Recorder,Determiner,
Accepted as considered correct,13150767,23 (iRecord) | 374 (iRecord App),Celastrina argiolus,Holly Blue,insect - butterfly,"Liverpool Road, Reading",SU731736,Berkshire,05/04/2020,"Carpenter, Dan",,
Accepted as considered correct,13150766,23 (iRecord) | 374 (iRecord App),Anthocharis cardamines,Orange-tip,insect - butterfly,"Liverpool Road, Reading",SU731736,Berkshire,05/04/2020,"Carpenter, Dan",,
Accepted as considered correct,13150765,23 (iRecord) | 374 (iRecord App),Pieris rapae,Small White,insect - butterfly,"Liverpool Road, Reading",SU731736,Berkshire,05/04/2020,"Carpenter, Dan",,
Accepted as considered correct,13150764,23 (iRecord) | 374 (iRecord App),Bombylius major,Dark-edged Bee-fly,insect - true fly (Diptera),"Liverpool Road, Reading",SU731736,Berkshire,05/04/2020,"Carpenter, Dan",,
Accepted as considered correct,13150763,23 (iRecord) | 374 (iRecord App),Aglais io,Peacock,insect - butterfly,"Liverpool Road, Reading",SU731736,Berkshire,05/04/2020,"Carpenter, Dan",,
Not reviewed,13148794,23 (iRecord) | 374 (iRecord App),Talpa europaea,European Mole,terrestrial mammal,Whiteknights campus,SU735722,Berkshire,05/04/2020,"Carpenter, Dan",,85e294d3fff6c703aac2f4c8c597eb7c85f0cdb4.jpg; ; 
Not reviewed,13148793,23 (iRecord) | 374 (iRecord App),Dendrocopos major,Great Spotted Woodpecker,bird,Whiteknights campus,SU735722,Berkshire,05/04/2020,"Carpenter, Dan",,
Not reviewed,13148789,23 (iRecord) | 374 (iRecord App),Aythya fuligula,Tufted Duck,bird,Whiteknights campus,SU736721,Berkshire,05/04/2020,"Carpenter, Dan",,
Not reviewed,13148788,23 (iRecord) | 374 (iRecord App),Anemone nemorosa,Wood Anemone,flowering plant,Whiteknights campus,SU736721,Berkshire,05/04/2020,"Carpenter, Dan",,5f18d423d352fd0f754d60899f82926de0ee7589.jpg; ; 
Not reviewed,13148787,23 (iRecord) | 374 (iRecord App),Phylloscopus collybita,Chiffchaff,bird,Whiteknights campus,SU737718,Berkshire,05/04/2020,"Carpenter, Dan",,
Not reviewed,13148786,23 (iRecord) | 374 (iRecord App),Troglodytes troglodytes,Wren,bird,Whiteknights campus,SU737718,Berkshire,05/04/2020,"Carpenter, Dan",,
Not reviewed,13148785,23 (iRecord) | 374 (iRecord App),Fritillaria meleagris,Fritillary,flowering plant,Whiteknights campus,SU736718,Berkshire,05/04/2020,"Carpenter, Dan",,c59d1761f15ac8e2d95694d54e368ee6e10e30a9.jpg; ; 
Not reviewed,13148784,23 (iRecord) | 374 (iRecord App),Primula veris,Cowslip,flowering plant,Whiteknights campus,SU737719,Berkshire,05/04/2020,"Carpenter, Dan",,e7d37beed4acf872a0efca916d5d5318104e80be.jpg; ; 
Not reviewed,13146598,23 (iRecord) | 374 (iRecord App),Veronica hederifolia,Ivy-leaved Speedwell,flowering plant,Wokingham waterside centre,SU735739,Berkshire,04/04/2020,"Carpenter, Dan",Yolanda Vazquez,2bf4bb1a1646edc3ca9a3ca3c0d12bd274df5d20.jpg; ; 
Not reviewed,13145806,23 (iRecord) | 374 (iRecord App),Sitta europaea,Nuthatch,bird,Thames Valley Park nature reserve,SU745746,Berkshire,04/04/2020,"Carpenter, Dan",,
Not reviewed,13145804,23 (iRecord) | 374 (iRecord App),Phylloscopus collybita,Chiffchaff,bird,Thames Valley Park nature reserve,SU745747,Berkshire,04/04/2020,"Carpenter, Dan",,
Not reviewed,13145803,23 (iRecord) | 374 (iRecord App),Cardamine pratensis,Cuckooflower,flowering plant,Thames Valley Park meadows,SU742745,Berkshire,04/04/2020,"Carpenter, Dan",,e9a78513e11d659f335bf36e75a883c4441d0d45.jpg; ; 
Not reviewed,13145800,23 (iRecord) | 374 (iRecord App),Podiceps cristatus,Great Crested Grebe,bird,River Thames,SU7373,Berkshire,04/04/2020,"Carpenter, Dan",,9e955b5c3f4ba1065c52063b0a0b455c890371fa.jpg; ; 
Not reviewed,13143564,23 (iRecord) | 374 (iRecord App),Chiroptera,Bat,terrestrial mammal,"Palmer Park, Reading",SU737729,Berkshire,03/04/2020,"Carpenter, Dan",,
Not reviewed,13143563,23 (iRecord) | 374 (iRecord App),Chiroptera,Bat,terrestrial mammal,"Manchester Road, Reading",SU734734,Berkshire,03/04/2020,"Carpenter, Dan",,
Not reviewed,13143496,23 (iRecord) | 374 (iRecord App),Viscum album,Mistletoe,flowering plant,"Palmer Park, Reading",SU73967290,Berkshire,03/04/2020,"Carpenter, Dan",,
Not reviewed,13143479,23 (iRecord) | 374 (iRecord App),Chiroptera,Bat,terrestrial mammal,"Palmer Park, Reading",SU738733,Berkshire,03/04/2020,"Carpenter, Dan",,
Not reviewed,13141595,23 (iRecord) | 374 (iRecord App),Aegithalos caudatus,Long-tailed Tit,bird,"Liverpool Road, Reading",SU731736,Berkshire,03/04/2020,"Carpenter, Dan",,
Not reviewed,13141531,23 (iRecord) | 374 (iRecord App),Columba palumbus,Woodpigeon,bird,"Tesco, Napier Road, Reading",SU726739,Berkshire,03/04/2020,"Carpenter, Dan",,
Not reviewed,13141530,23 (iRecord) | 374 (iRecord App),Troglodytes troglodytes,Wren,bird,"Tesco, Napier Road, Reading",SU727739,Berkshire,03/04/2020,"Carpenter, Dan",,
Not reviewed,13141529,23 (iRecord) | 374 (iRecord App),Phylloscopus collybita,Chiffchaff,bird,"Tesco, Napier Road, Reading",SU727739,Berkshire,03/04/2020,"Carpenter, Dan",,
Not reviewed,13141528,23 (iRecord) | 374 (iRecord App),Aegithalos caudatus,Long-tailed Tit,bird,"Tesco, Napier Road, Reading",SU727739,Berkshire,03/04/2020,"Carpenter, Dan",,
Not reviewed,13141527,23 (iRecord) | 374 (iRecord App),Sciurus carolinensis,Eastern Grey Squirrel,terrestrial mammal,"Tesco, Napier Road, Reading",SU727739,Berkshire,03/04/2020,"Carpenter, Dan",,
Not reviewed,13141526,23 (iRecord) | 374 (iRecord App),Pica pica,Magpie,bird,"Tesco, Napier Road, Reading",SU727739,Berkshire,03/04/2020,"Carpenter, Dan",,
Not reviewed,13128322,23 (iRecord) | 374 (iRecord App),Columba palumbus,Woodpigeon,bird,"Liverpool Road, Reading",SU731736,Berkshire,01/04/2020,"Carpenter, Dan",,
Not reviewed,13127954,23 (iRecord) | 374 (iRecord App),Primula veris,Cowslip,flowering plant,"Blake's Lock, Reading",SU72587353,Berkshire,31/03/2020,"Carpenter, Dan",,
Not reviewed,13114330,23 (iRecord) | 374 (iRecord App),Falco peregrinus,Peregrine,bird,"Blake's Lock, Reading",SU72907368,Berkshire,31/03/2020,"Carpenter, Dan",,
Not reviewed,13114329,23 (iRecord) | 374 (iRecord App),Motacilla cinerea,Grey Wagtail,bird,"Blake's Lock, Reading",SU72787354,Berkshire,31/03/2020,"Carpenter, Dan",,
Not reviewed,13113603,23 (iRecord) | 374 (iRecord App),Ardea cinerea,Grey Heron,bird,Wokingham waterside centre,SU7373,Berkshire,30/03/2020,"Carpenter, Dan",,
Not reviewed,13113596,23 (iRecord) | 374 (iRecord App),Podiceps cristatus,Great Crested Grebe,bird,Kennet mouth,SU7373,Berkshire,30/03/2020,"Carpenter, Dan",,c4550075bde7457a5fdf6ead2c5e85501283874a.jpg; ; 
Not reviewed,13110433,23 (iRecord) | 374 (iRecord App),Sciurus carolinensis,Eastern Grey Squirrel,terrestrial mammal,"Liverpool Road, Reading",SU731736,Berkshire,30/03/2020,"Carpenter, Dan",,
Not reviewed,13110429,23 (iRecord) | 374 (iRecord App),Turdus merula,Blackbird,bird,"Liverpool Road, Reading",SU731736,Berkshire,30/03/2020,"Carpenter, Dan",,
Not reviewed,13108655,23 (iRecord) | 374 (iRecord App),Alopochen aegyptiaca,Egyptian Goose,bird,Wokingham waterside centre,SU735739,Berkshire,29/03/2020,"Carpenter, Dan",,d8a78e7b605c862ec33f514bf7b059fcd8836021.jpg; ;  | 7cfaac1b24701810dcdc92fe3b0dddc43f79f207.jpg; ; 
Not reviewed,13104502,23 (iRecord) | 374 (iRecord App),Motacilla alba yarrellii,Pied Wagtail,bird,"Palmer Park, Reading",SU7373,Berkshire,28/03/2020,"Carpenter, Dan",,
Not reviewed,13102564,23 (iRecord) | 374 (iRecord App),Chiroptera,Bat,terrestrial mammal,"Liverpool Road, Reading",SU731736,Berkshire,27/03/2020,"Carpenter, Dan",,
Not reviewed,13099511,23 (iRecord) | 374 (iRecord App),Vulpes vulpes,Red Fox,terrestrial mammal,"Liverpool Road, Reading",SU731736,Berkshire,27/03/2020,"Carpenter, Dan",,083c7afb6014767d7194abaebc033d2598128706.jpg; ;  | bd39aa966b1c4dabf23017d3d03e85b9e5eba535.jpg; ;  | bb1835047e9d0be930851112b254003278b1d1ce.jpg; ; 
Not reviewed,13099417,23 (iRecord) | 374 (iRecord App),Carduelis carduelis,Goldfinch,bird,"Blake's Lock, Reading",SU728736,Berkshire,27/03/2020,"Carpenter, Dan",,
Not reviewed,13099416,23 (iRecord) | 374 (iRecord App),Podiceps cristatus,Great Crested Grebe,bird,"Blake's Lock, Reading",SU727735,Berkshire,27/03/2020,"Carpenter, Dan",,
Not reviewed,13099413,23 (iRecord) | 374 (iRecord App),Branta canadensis,Canada Goose,bird,"Blake's Lock, Reading",SU726735,Berkshire,27/03/2020,"Carpenter, Dan",,591b91ea5c13fe3bee96818dcb3fcb862db18786.jpg; ; 
Not reviewed,13099412,23 (iRecord) | 374 (iRecord App),Sturnus vulgaris,Starling,bird,"Kenavon Drive, Reading",SU726735,Berkshire,27/03/2020,"Carpenter, Dan",,
Not reviewed,13099411,23 (iRecord) | 374 (iRecord App),Anas platyrhynchos,Mallard,bird,"Blake's Lock, Reading",SU724734,Berkshire,27/03/2020,"Carpenter, Dan",,5d1088476c7cd962f81a3b8e676dfb31c8829702.jpg; ; 
Not reviewed,13099321,23 (iRecord) | 374 (iRecord App),Passer domesticus,House Sparrow,bird,"School Terrace, Reading",SU729735,Berkshire,27/03/2020,"Carpenter, Dan",,
Not reviewed,13099283,23 (iRecord) | 374 (iRecord App),Erithacus rubecula,Robin,bird,"Liverpool Road, Reading",SU731736,Berkshire,27/03/2020,"Carpenter, Dan",,
Not reviewed,13094712,23 (iRecord) | 374 (iRecord App),Primula veris,Cowslip,flowering plant,"Palmer Park, Reading",SU73987318,Berkshire,26/03/2020,"Carpenter, Dan",,
Not reviewed,13093971,23 (iRecord) | 42 (iRecord general data),Pica pica,Magpie,bird,"Liverpool Road, Reading",SU731736,Berkshire,26/03/2020,"Carpenter, Dan","Carpenter, Dan",
Accepted as considered correct,13093969,23 (iRecord) | 42 (iRecord general data),Vanessa atalanta,Red Admiral,insect - butterfly,"Liverpool Road, Reading",SU731736,Berkshire,25/03/2020,"Carpenter, Dan","Carpenter, Dan",
Not reviewed,13093968,23 (iRecord) | 42 (iRecord general data),Columba palumbus,Woodpigeon,bird,"Liverpool Road, Reading",SU731736,Berkshire,25/03/2020,"Carpenter, Dan","Carpenter, Dan",
Not reviewed,13093967,23 (iRecord) | 42 (iRecord general data),Cyanistes caeruleus,Blue Tit,bird,"Liverpool Road, Reading",SU731736,Berkshire,25/03/2020,"Carpenter, Dan","Carpenter, Dan",
Not reviewed,13093921,23 (iRecord) | 42 (iRecord general data),Coccinella septempunctata,7-spot Ladybird,insect - beetle (Coleoptera),"Liverpool Road, Reading",SU731736,Berkshire,24/03/2020,"Carpenter, Dan","Carpenter, Dan",
Accepted as considered correct,13093920,23 (iRecord) | 42 (iRecord general data),Gonepteryx rhamni rhamni,Brimstone,insect - butterfly,"Liverpool Road, Reading",SU731736,Berkshire,24/03/2020,"Carpenter, Dan","Carpenter, Dan",
